tile_id,count,resolution,x,y,width,height
0,4,1.0,0,0,640,640
1,3,1.0,608,0,640,640
2,5,1.0,1216,0,640,640
3,6,1.0,1824,0,640,640
4,8,1.0,2432,0,640,640
5,10,1.0,3040,0,640,640
6,2,1.0,3648,0,640,640
7,2,1.0,4256,0,640,640
8,2,1.0,4864,0,640,640
9,0,1.0,5472,0,528,640
10,3,1.0,0,608,640,640
11,5,1.0,608,608,640,640
12,14,1.0,1216,608,640,640
13,7,1.0,1824,608,640,640
14,9,1.0,2432,608,640,640
15,12,1.0,3040,608,640,640
16,4,1.0,3648,608,640,640
17,5,1.0,4256,608,640,640
18,2,1.0,4864,608,640,640
19,7,1.0,5472,608,528,640
20,2,1.0,0,1216,640,640
21,3,1.0,608,1216,640,640
22,10,1.0,1216,1216,640,640
23,13,1.0,1824,1216,640,640
24,11,1.0,2432,1216,640,640
25,6,1.0,3040,1216,640,640
26,8,1.0,3648,1216,640,640
27,5,1.0,4256,1216,640,640
28,3,1.0,4864,1216,640,640
29,6,1.0,5472,1216,528,640
30,4,1.0,0,1824,640,640
31,7,1.0,608,1824,640,640
32,9,1.0,1216,1824,640,640
33,8,1.0,1824,1824,640,640
34,8,1.0,2432,1824,640,640
35,5,1.0,3040,1824,640,640
36,8,1.0,3648,1824,640,640
37,7,1.0,4256,1824,640,640
38,4,1.0,4864,1824,640,640
39,2,1.0,5472,1824,528,640
40,1,1.0,0,2432,640,640
41,2,1.0,608,2432,640,640
42,3,1.0,1216,2432,640,640
43,5,1.0,1824,2432,640,640
44,6,1.0,2432,2432,640,640
45,3,1.0,3040,2432,640,640
46,2,1.0,3648,2432,640,640
47,0,1.0,4256,2432,640,640
48,4,1.0,4864,2432,640,640
49,2,1.0,5472,2432,528,640
50,0,1.0,0,3040,640,640
51,3,1.0,608,3040,640,640
52,3,1.0,1216,3040,640,640
53,3,1.0,1824,3040,640,640
54,6,1.0,2432,3040,640,640
55,2,1.0,3040,3040,640,640
56,6,1.0,3648,3040,640,640
57,3,1.0,4256,3040,640,640
58,4,1.0,4864,3040,640,640
59,2,1.0,5472,3040,528,640
60,0,1.0,0,3648,640,352
61,0,1.0,608,3648,640,352
62,2,1.0,1216,3648,640,352
63,1,1.0,1824,3648,640,352
64,0,1.0,2432,3648,640,352
65,2,1.0,3040,3648,640,352
66,2,1.0,3648,3648,640,352
67,4,1.0,4256,3648,640,352
68,0,1.0,4864,3648,640,352
69,0,1.0,5472,3648,528,352
0,2,0.75,0,0,640,640
1,7,0.75,608,0,640,640
2,4,0.75,1216,0,640,640
3,7,0.75,1824,0,640,640
4,5,0.75,2432,0,640,640
5,2,0.75,3040,0,640,640
6,4,0.75,3648,0,640,640
7,2,0.75,0,608,640,640
8,2,0.75,608,608,640,640
9,9,0.75,1216,608,640,640
10,11,0.75,1824,608,640,640
11,4,0.75,2432,608,640,640
12,2,0.75,3040,608,640,640
13,7,0.75,3648,608,640,640
14,6,0.75,0,1216,640,640
15,16,0.75,608,1216,640,640
16,14,0.75,1216,1216,640,640
17,13,0.75,1824,1216,640,640
18,11,0.75,2432,1216,640,640
19,6,0.75,3040,1216,640,640
20,2,0.75,3648,1216,640,640
21,4,0.75,0,1824,640,640
22,8,0.75,608,1824,640,640
23,5,0.75,1216,1824,640,640
24,3,0.75,1824,1824,640,640
25,6,0.75,2432,1824,640,640
26,4,0.75,3040,1824,640,640
27,6,0.75,3648,1824,640,640
28,0,0.75,0,2432,640,568
29,5,0.75,608,2432,640,568
30,2,0.75,1216,2432,640,568
31,3,0.75,1824,2432,640,568
32,10,0.75,2432,2432,640,568
33,0,0.75,3040,2432,640,568
34,4,0.75,3648,2432,640,568
0,6,0.5,0,0,640,640
1,10,0.5,608,0,640,640
2,15,0.5,1216,0,640,640
3,6,0.5,1824,0,640,640
4,6,0.5,2432,0,568,640
5,10,0.5,0,608,640,640
6,12,0.5,608,608,640,640
7,8,0.5,1216,608,640,640
8,6,0.5,1824,608,640,640
9,5,0.5,2432,608,568,640
10,3,0.5,0,1216,640,640
11,6,0.5,608,1216,640,640
12,3,0.5,1216,1216,640,640
13,3,0.5,1824,1216,640,640
14,4,0.5,2432,1216,568,640
0,17,0.3,0,0,640,640
1,15,0.3,608,0,640,640
2,13,0.3,1216,0,584,640
3,10,0.3,0,608,640,592
4,16,0.3,608,608,640,592
5,12,0.3,1216,608,584,592
0,19,0.25,0,0,640,640
1,19,0.25,608,0,640,640
2,12,0.25,0,608,640,392
3,17,0.25,608,608,640,392
